,Texto,Usuario,Fuente,Conteo de retweets,Conteo de favoritos
42,Tres cárteles están ya tratando de patrocinar candidatos para 2021: Anabel Hernández https://t.co/k0lJrLvePc https://t.co/F2YnvtQfyg,AristeguiOnline,Hootsuite Inc.,274,757
43,Inhabilita SFP 10 años a Alfredo Castillo por ocultar cuentas con 18 millones de pesos https://t.co/XE83IOExPJ https://t.co/Npbj9yXYrq,AristeguiOnline,Hootsuite Inc.,273,1040
44,"#ÚltimaHora Se registra ‘apagón’ en distintas ciudades del país
https://t.co/1Oiy9miK2c https://t.co/238zK8bUVa",AristeguiOnline,Hootsuite Inc.,273,1045
45,"Se hunde embarcación turística con casi 60 pasajeros en Puerto Vallarta | #Videos
https://t.co/KOlOYpnJUs https://t.co/i2NL8bUzul",AristeguiOnline,Hootsuite Inc.,265,1099
46,Vicente Fox llama ‘chachalaca tabasqueña’ al presidente López Obrador  https://t.co/pypzBFH7rb https://t.co/4ueS7MGBCp,AristeguiOnline,Hootsuite Inc.,260,2030
47,¿A quién se le ocurre pensar que Salgado Macedonio es un candidato idóneo?: Anabel Hernández https://t.co/aMf30qaxeQ https://t.co/IUTpiTKsUh,AristeguiOnline,Hootsuite Inc.,258,809
48,"#AristeguiEnVivo | El pasado domingo, Sandra Esther Vaca Cortés, identificada por una periodista como parte de una red de prostitución que funcionaba al interior el PRI, se preregistró como aspirante a una diputación federal https://t.co/1i5sPvN4lM https://t.co/MT0jCefxJa",AristeguiOnline,Hootsuite Inc.,253,255
49,"Si no nos ayudas, no vamos a resistir: Personal médico | #Video
https://t.co/SBy7yEBYEE https://t.co/rToLc35dRH",AristeguiOnline,Hootsuite Inc.,248,655
50,Este fin de semana AMLO recorrió 2 mil kilómetros y tuvo siete eventos públicos https://t.co/yGFByxyuT4 https://t.co/2tA6pZyEGM,AristeguiOnline,Hootsuite Inc.,245,949
51,"Autoridades del ISSSTE denuncian ante FGR aplicación ilegal de vacunas a familiares y administrativos
https://t.co/bm9l5Hjg1w https://t.co/0RsK9j3mLU",AristeguiOnline,Hootsuite Inc.,238,520
52,Pregúntenle a la gente si ya no quieren mañaneras: AMLO https://t.co/uHWqttkklQ https://t.co/XpMU27i6kc,AristeguiOnline,Hootsuite Inc.,234,1714
53,"Renuncian integrantes del equipo de Trump y Melania
https://t.co/yHHczIOE9G https://t.co/PjnHO5RwaI",AristeguiOnline,Hootsuite Inc.,231,1090
54,Confirman pena de 22 años de prisión por corrupción para expresidenta surcoreana https://t.co/4qBbblpf0t https://t.co/qNM8Lz8Naj,AristeguiOnline,Hootsuite Inc.,229,1034
55,"Carlos Slim tiene Covid-19 desde hace una semana
https://t.co/eSsvv9dQTK https://t.co/pszunNAgpw",AristeguiOnline,Hootsuite Inc.,225,924
56,"Gobierno de México dice que combate la corrupción, pero ahora defiende a un corrupto: Vigil https://t.co/p1fTkZaGa9 https://t.co/buaCLFQeKb",AristeguiOnline,Hootsuite Inc.,224,798
57,#ÚltimoMomento | Murió el cantautor yucateco Armando Manzanero https://t.co/yP0qBzbfov https://t.co/X7S8EWv0dU,AristeguiOnline,Hootsuite Inc.,224,841
58,"#AristeguiEnVivo | ""Ahora están protegiendo a un oficial corrupto y nos están acusando de que hicimos algo mal"", dice Mike Vigil, ex jefe de operaciones internacionales de la DEA y quien participó en las investigaciones a Salvador Cienfuegos https://t.co/rD0NgpirnJ https://t.co/xXUw9e66y4",AristeguiOnline,Twitter for iPhone,222,393
59,No endeudamos al país a pesar de la pandemia: AMLO https://t.co/JY8Gc29jSK https://t.co/OyCFicsTRY,AristeguiOnline,Hootsuite Inc.,219,1341
60,"#AristeguiEnVivo | Ya estamos en directo con el doctor Alejandro Gertz Manero, titular de la @FGRMexico, para ampliar la información sobre el caso del general Salvador Cienfuegos https://t.co/wFxiBU6hM7 https://t.co/54SKCpyHcn",AristeguiOnline,Hootsuite Inc.,218,617
61,Lanzan la campaña 'Devuelve tu tanque. Por amor a la vida' para que la ciudadanía devuelva los tanques de oxígeno que rentó https://t.co/yStJOrOivI https://t.co/ErwUCDFIv3,AristeguiOnline,Hootsuite Inc.,217,632
62,Anabel Hernández cuestiona por qué gobierno de AMLO pagó la defensa de Cienfuegos https://t.co/V4W6d3jmcC https://t.co/YNzJeduVCi,AristeguiOnline,Hootsuite Inc.,205,725
63,"García Harfuch recibía 200 mil dólares mensuales de Guerreros Unidos: testigo
https://t.co/1ARN2rbgwz https://t.co/nIdNeeiA8l",AristeguiOnline,Hootsuite Inc.,204,462
64,"Gobierno de México dice que combate la corrupción, pero ahora defiende a un corrupto: Vigil | Entérate
https://t.co/88BOZfQbUa https://t.co/nFyEyG13PH",AristeguiOnline,Hootsuite Inc.,204,819
65,"En ningún momento ha sido rebasado el Sistema Hospitalario durante la pandemia: López-Gatell
https://t.co/md43bPJqaI https://t.co/hG4pVO7zXB",AristeguiOnline,Hootsuite Inc.,202,951
66,Cienfuegos bloqueó interrogatorios a soldados en caso Ayotzinapa: Anabel Hernández https://t.co/wnAUeclpam https://t.co/UYLGc7ju32,AristeguiOnline,Hootsuite Inc.,200,406
67,"López-Gatell no ha entregado el documento que prometió sobre semáforo de Covid-19: Aristegui
https://t.co/0z4Hs2RQlP https://t.co/Ax4L9AauuD",AristeguiOnline,Hootsuite Inc.,197,630
68,No siento que la gente se decepcione por caso Cienfuegos: AMLO https://t.co/qtS2gIy1cS https://t.co/aX1gFL2GOY,AristeguiOnline,Hootsuite Inc.,191,944
69,"#AristeguiEnVivo | Once personas fueron asesinadas en Celaya, Guanajuato; nueve de ellas estaban en un velorio. Se trata del saldo más cruel en tiempos recientes. Todos los detalles con @JavierBravoL, periodista en Guanajuato https://t.co/FhWBCwH2X6 https://t.co/uZLfSA1AT3",AristeguiOnline,Hootsuite Inc.,188,383
70,"TEPJF declara procedente bajar spot de Morena sobre vacunas contra el Covid-19
https://t.co/cMxWhC65Ta https://t.co/14qc9zaA1Y",AristeguiOnline,Hootsuite Inc.,188,972
