,Texto,Usuario,Fuente,Conteo de retweets,Conteo de favoritos
92,Quien te conoce bien sabe que te pasa algo aunque se lo niegues.,SoloReflexiones,TweetDeck,1972,4562
93,Me di cuenta que nosotros mismos rompemos nuestro propio corazón al esperar que nos den todo lo que damos.,SoloReflexiones,TweetDeck,1962,4695
94,"Respira hondo, date una ducha larga, limpia tu cuarto, escucha música bajito, mira una película, tomate un tiempo y amigate contigo mismo.",SoloReflexiones,TweetDeck,1959,5204
95,"Estabilidad y seguridad, alguien que te haga sentir tan cómodo que no dudes si te quieren o no.",SoloReflexiones,TweetDeck,1956,4990
96,"Y, de repente, lo entiendes y sanas. No es el otro que te decepcionó, fuiste tú que lo idealizaste de más. Y, ahí, justo ahí, te permites irte en paz.",SoloReflexiones,TweetDeck,1955,4741
97,"Las relaciones no son fáciles, tienes que construir, no irte.",SoloReflexiones,TweetDeck,1940,4709
98,"Lo que tenga que volver, volverá.",SoloReflexiones,Twitter for Android,1937,1271
99,"""Tiempo al tiempo, todo llega en su momento.""",SoloReflexiones,TweetDeck,1912,986
100,"Mi mamá una vez me dijo: lo que uno no habla, lo llora. Y cuanta razón tiene.",SoloReflexiones,TweetDeck,1904,5865
101,"Siempre quédate en los lugares que te hagan sentir algo. No hablo solo de amor, hablo de paz, tranquilidad, emoción... que te hagan sentir vivo. Donde te marchites ya no, ya nunca.",SoloReflexiones,TweetDeck,1900,4083
102,La paz mental comienza cuando tomas la decisión de romper vínculos que no suman en tu vida.,SoloReflexiones,TweetDeck,1883,4363
103,"“No confundas mi personalidad, con mi actitud; mi personalidad es quien soy, mi actitud depende de quién seas tú.”",SoloReflexiones,Hootsuite,1879,1183
104,Dios tiene el poder de cambiar cualquier situación.,SoloReflexiones,TweetDeck,1853,5162
105,"Soy celoso, lo sé; tengo mil defectos, lo sé; pero tengo una gran virtud: cuando digo ""te quiero"", lo digo en serio.",SoloReflexiones,TweetDeck,1849,1546
106,"Los débiles toman venganza, los fuertes perdonan y los inteligentes ignoran.",SoloReflexiones,TweetDeck,1825,4401
107,"""Lo bueno tarda en llegar, porque lo que fácil llega, fácil se va.""",SoloReflexiones,TweetDeck,1824,899
108,"Mi madre es la persona que más sonrisas mías se merece, y al final es la que peores caras siempre se lleva.",SoloReflexiones,Twitter for Android,1818,1466
109,"Jamás te llamaría error ni por orgullo, no después de tantas sonrisas.",SoloReflexiones,TweetDeck,1816,5193
110,"Así es la vida, a veces son sonrisas, a veces son lágrimas.",SoloReflexiones,TweetDeck,1809,906
111,"No hay que odiar, ni desearle el mal a nadie, en esta vida todo lo que das, vuelve.",SoloReflexiones,TweetDeck,1808,3406
112,"""El tiempo siempre pone todo en su lugar.""",SoloReflexiones,TweetDeck,1802,632
113,"No me arrepiento de nada, pero sí me hubiera gustado haber tomado mejores decisiones en algún momento de mi vida.",SoloReflexiones,TweetDeck,1798,1318
114,"Llevar un anillo, pulsera o collar que te han regalado es como llevar contigo a la persona que te lo regaló siempre.",SoloReflexiones,TweetDeck,1792,4986
115,"""A veces callar también es la manera de decir muchas cosas.",SoloReflexiones,TweetDeck,1788,961
116,"Ya estamos en agosto, ya solo faltan 20 sábados para Navidad.",SoloReflexiones,TweetDeck,1787,4951
117,Soy de esas personas que hasta en su peor momento harían lo que fuese por hacer sonreír a quien quieren.,SoloReflexiones,TweetDeck,1784,1430
118,"""A veces no tenes ganas de decir que estás mal, ni explicar qué te pasa. Solo quieres que alguien lo note y sin decir nada, te abrace fuerte.""",SoloReflexiones,Twitter for Android,1778,3263
119,"""Sonríe como si nunca te hubieran lastimado.""",SoloReflexiones,TweetDeck,1775,1196
120,Ser una persona insegura te destroza la cabeza.,SoloReflexiones,TweetDeck,1773,5768
121,Querer decir tanto y saber que es mejor no decir nada.,SoloReflexiones,Twitter for Android,1756,1078
122,"No es decirlo, es demostrarlo.",SoloReflexiones,TweetDeck,1752,890
123,Elimina de tu vida todo aquello que te cause estrés y te quite la sonrisa.,SoloReflexiones,TweetDeck,1752,1086
124,"""La herida que más cuesta sanar viene de quien dijo que nunca te la iba a causar.""",SoloReflexiones,TweetDeck,1751,1204
125,"""Ríe, y el mundo reirá contigo. Llora, y llorarás solo.""",SoloReflexiones,TweetDeck,1716,712
126,En la vida hay tiempo para todo... menos para rendirse.,SoloReflexiones,TweetDeck,1712,661
127,"""La confianza se gana con mil acciones y se pierde con tan solo una.""",SoloReflexiones,TweetDeck,1703,827
128,Lucha por todo aquello que te saque una sonrisa.,SoloReflexiones,TweetDeck,1699,681
129,Algunas personas pasan por nuestra vida para enseñarnos a nunca ser como ellas.,SoloReflexiones,TweetDeck,1698,3412
130,"""Es mejor aprender juntos, que sufrir separados.""",SoloReflexiones,TweetDeck,1695,740
131,"""Mirar al cielo y sonreír porque alguien te cuida.""",SoloReflexiones,TweetDeck,1695,819
132,Algún día a mí se me va a dar.,SoloReflexiones,TweetDeck,1688,3690
133,"""A veces somos buenos con las personas equivocadas.""",SoloReflexiones,TweetDeck,1684,740
